Budget	Avg Rating	Month	Class	Movie Title	Performance Ratio	Genres
450000.00	3.005499542	9	1	Paranormal Activity (2009)	431.52	Horror|Thriller
100000.00	2.253968254	7	1	The Gallows (2015)	417.54	Horror|Thriller
65000.00	3.556726169	5	1	Super Size Me (2004)	342.06	Comedy|Documentary|Drama
7000.00	3.823963018	10	1	Primer (2004)	120.28	Drama|Sci-Fi
400000.00	3.34176483	6	1	Napoleon Dynamite (2004)	115.31	Comedy
100000.00	3.638513514	9	1	Facing the Giants (2006)	102.43	Action|Drama
1000000.00	2.092920354	1	1	Devil Inside, The (2012)	101.76	Horror|Thriller
5000000.00	3.410131346	4	1	My Big Fat Greek Wedding (2002)	74.98	Comedy|Romance
500000.00	3.520348837	9	1	Fireproof (2008)	66.95	Drama|Romance
5000000.00	3.566332916	1	1	Split (2017)	55.66	Drama|Horror|Thriller
1150000.00	2.512820513	3	1	God's Not Dead (2014)	55.46	Drama
1000000.00	3.636131167	5	1	Inconvenient Truth, An (2006)	52.77	Documentary
5000000.00	3.955033003	2	1	Get Out (2017)	50.75	Horror
50000.00	2.089285714	3	1	Gabriela (2001)	46.71	Comedy|Drama|Romance
1000000.00	2.654891304	5	1	Chernobyl Diaries (2012)	42.41	Horror
5000000.00	2.78125	10	1	Paranormal Activity 3 (2011)	40.41	Horror
6500000.00	2.644385027	10	1	Annabelle (2014)	39.52	Horror
1800000.00	3.00955414	8	1	Last Exorcism, The (2010)	38.98	Horror|Thriller
6000000.00	3.513036123	6	1	Fahrenheit 9/11 (2004)	36.86	Documentary
7000000.00	3.763504115	12	1	Juno (2007)	33.06	Comedy|Drama|Romance
5000000.00	3.3885918	9	1	Insidious: Chapter 2 (2013)	32.38	Horror|Thriller
5000000.00	2.968278731	10	1	Saw II (2005)	30.59	Horror|Thriller
800000.00	3.965492958	12	1	Separation, A (Jodaeiye Nader az Simin) (2011)	30.53	Drama
3000000.00	2.951807229	6	1	Purge, The (2013)	30.42	Crime|Horror|Thriller
5000000.00	3.078947368	7	1	Lights Out (2016)	29.77	Horror
4000000.00	3.797428372	9	1	Lost in Translation (2003)	29.27	Comedy|Drama|Romance
3000000.00	3.514373717	10	1	Sinister (2012)	29.24	Horror|Thriller
15000000.00	3.935487572	11	1	King's Speech, The (2010)	28.72	Drama
5000000.00	2.430612245	10	1	Paranormal Activity 4 (2012)	28.12	Horror|IMAX
14000000.00	3.862503516	11	1	Slumdog Millionaire (2008)	27.47	Crime|Drama|Romance
1100000.00	3.04197349	12	1	Wolf Creek (2005)	26.37	Crime|Horror|Thriller
300000.00	3.291139241	11	1	Tupac: Resurrection (2003)	26.03	Documentary
12000000.00	3.590295359	6	1	The Fault in Our Stars (2014)	25.60	Drama|Romance
13000000.00	3.792070856	12	1	Black Swan (2010)	25.48	Drama|Thriller
11000000.00	2.431481481	10	1	High School Musical 3: Senior Year (2008)	24.94	Musical
25000000.00	3.163141994	2	1	Passion of the Christ, The (2004)	24.89	Drama
1700000.00	3.687000726	11	1	In the Bedroom (2001)	24.79	Drama
3000000.00	3.6	8	1	War Room (2015)	24.66	Drama
7000000.00	3.016452074	6	1	Magic Mike (2012)	24.36	Drama|Romance
2500000.00	2.27184466	1	1	Haunted House, A (2013)	23.97	Comedy|Horror
5000000.00	3.786936798	10	1	Billy Elliot (2000)	21.85	Drama
150000.00	3.270507813	7	1	Tadpole (2002)	21.80	Comedy|Drama|Romance
5000000.00	3.683925811	3	1	10 Cloverfield Lane (2016)	21.66	Thriller
20000000.00	3.82133189	12	1	La La Land (2016)	21.59	Comedy|Drama|Romance
5000000.00	2.335978836	10	1	Ouija (2014)	20.74	Horror
5000000.00	3.747058824	8	1	Instructions Not Included (No se Aceptan Devoluciones) (2013)	20.10	Comedy|Drama
900000.00	3.655080214	7	1	Fruitvale Station (2013)	19.50	Drama
3000000.00	3.731032317	10	1	Bowling for Columbine (2002)	19.41	Documentary
500000.00	3.896645161	10	1	Station Agent, The (2003)	18.94	Comedy|Drama
500000.00	3.865695793	5	1	Mad Hot Ballroom (2005)	18.78	Children|Documentary
10000000.00	2.820139697	10	1	Grudge, The (2004)	18.73	Horror|Mystery|Thriller
2000000.00	3.75974026	9	1	Courageous (2011)	17.59	Drama
5000000.00	2.65	1	1	Paranormal Activity: The Marked Ones (2014)	17.45	Horror|Thriller
25000.00	2.3	9	1	Backmask (2015)	17.16	Horror|Thriller
